,md,inc,azi,x,y,z,is_inflection,ti,total_ti
222,17197.0,93.61,344.43,7300.5949,-2352.844,9726.7513,True,4.9733781030791846e-05,263.03746026205846
223,17296.0,91.79,343.51,7395.6347,-2380.1507,9722.0879,True,5.2715703176886564e-05,265.9862356891765
224,17387.0,88.44,344.07,7483.004,-2405.5504,9721.9053,True,0.00014659149912654712,270.96146067472046
225,17478.0,90.47,343.19,7570.3057,-2431.1951,9722.7708,True,6.119682409910787e-05,273.9582842608744
226,17575.0,90.87,343.34,7663.1908,-2459.1238,9721.6366,False,0.0,273.9582842608744
227,17609.0,91.11,343.68,7695.7874,-2468.7732,9721.0491,True,2.4186203684273266e-06,275.85552356790043
228,17680.0,91.07,342.88,7763.7728,-2489.1957,9719.6985,True,8.20881264629314e-06,277.1134829516314
229,17756.0,90.58,344.36,7836.6784,-2510.6252,9718.6041,True,3.0498887425789434e-05,279.03191717600953
230,17833.0,90.23,342.11,7910.3989,-2532.8337,9718.0598,False,0.0,279.03191717600953
231,17905.0,90.11,341.1,7978.7187,-2555.554,9717.8461,True,1.4200551317733456e-05,281.6708342970685
232,17982.0,90.42,342.02,8051.7636,-2579.9095,9717.49,False,0.0,281.6708342970685
233,18052.0,90.55,343.6,8118.6321,-2600.596,9716.8974,True,3.2782299709932516e-05,284.7184926713465

Final Tortuosity Index: 284.72
